obs_ball_round,obs_serve,obs_player,act_ball_type,act_landing_location_x,act_landing_location_y,act_player_defend_x,act_player_defend_y
1,True,B,發短球,18.654268944755444,173.6380835545574,55.6103116431036,-104.40258066431954
2,False,A,放小球,-55.6103116431036,104.40258066431954,-74.88940489557764,-297.0012762539218
3,False,B,挑球,74.88940489557764,297.0012762539218,-37.460734048980754,-186.35922139038667
1,True,B,發短球,18.654268944755444,173.6380835545574,55.6103116431036,-104.40258066431954
2,False,A,放小球,-55.6103116431036,104.40258066431954,-74.88940489557764,-297.0012762539218
3,False,B,挑球,74.88940489557764,297.0012762539218,-37.460734048980754,-186.35922139038667
1,True,B,發短球,18.654268944755444,173.6380835545574,55.6103116431036,-104.40258066431954
2,False,A,放小球,-55.6103116431036,104.40258066431954,-74.88940489557764,-297.0012762539218
3,False,B,挑球,74.88940489557764,297.0012762539218,-37.460734048980754,-186.35922139038667
4,False,A,殺球,37.460734048980754,186.35922139038667,72.34909164765352,-102.82015728987079
5,False,B,擋小球,-72.34909164765352,102.82015728987079,58.86584402537724,-274.3753342942838
